ID,캐릭터이름,대사,
1,Fabian,@Hello. Are you a student at this university?@,College students 최초 대화
2,College students,@Yes^ Right. why?@,
3,Fabian,'That's cynical.',
4,Fabian,@You look pretty tired^ did something happened?@,
5,College students,@If it looks like that^ I hope you'll just go on your way.@,
6,College students,@Don't bother anyone who looks tired.@,
7,Fabian,@Haha^ I'm sorry but I can't do that^ so let me ask you a few questions.@,
8,Fabian,(He looked in my direction^ dejectedly^ as if he knew I wasn't going to walk away.),
9,College students,@Ugh^ I don't know why there are people around here who only talk about themselves.@,
10,College students,@Well^ whatever...@☆①,
11,College students,@If you don't have any more questions^ could you please leave now?@☆①,College students 반복대사
12,Fabian,@Have you heard anything about ⓡ(planetary parade)ⓦ?@,키워드 사용 - 행성대직렬
13,College students,@I don't know^ I'm not an astronomy major. But ⓑ(●1ⓤuniversity)ⓦ will have an observation show or something on that day.@,
14,Fabian,@So what's the professor working on that's bothering you?@,
15,College students,@I've heard that the ⓡ(●1ⓡwater quality)ⓦ of the Miskatonic River has been weird lately^ but to me^ it's always been the same.@,
16,College students,@If you're that curious^ you can go to the ⓑ(riverside)ⓦ^ except at night^ because that's pretty much where He is these days.@,
17,College students,@If you call him ⓖ(Professor Kane)ⓦ^ he'll think you're his student.@,
18,Fabian,@Okay^ thanks.@,
19,Fabian,'It wouldn't be a bad idea to stop by when i have time.’,
20,Fabian,@Have you heard of the recent epidemic of unexplained ⓡ(insomnia?)ⓦ@,키워드 - 불면증
21,College students,@Well... I already have ongoing 'physical' insomnia.@,
22,College students,@I'm not sure.@,
23,Fabian,(This is a very tired looking student.),살펴보기
24,Fabian,@Have you ever had a ⓡ(nightmare)ⓦ involving water or the ocean?@,2일차 추가 Content of a Nightmare
25,College students,@Not at all...? Because professors are all the rage in my ⓡ(nightmares)ⓦ lately.@,
26,Fabian,@Anyone around you?@,
27,College students,@Well... I haven't seen much of my friends lately.@,
28,Fabian,@ⓑ(Hospitals)ⓦ are reporting an epidemic of water and ocean-related ⓡ(nightmares)ⓦ^ have you heard?@,Water and Nightmare
29,College students,@ⓡ(Nightmares)ⓦ are in epidemic? And at ⓑ(hospital)ⓦ?@,
30,College students,@I see... On the one hand^ it seems a little satisfying that I'm not the only one who can't sleep well?@,
31,Fabian,(He closed his eyes for a moment after making that nonchalant comment.),
32,Fabian,@Have you heard about the ⓡ(fishy smell)ⓦ going around city lately?@,비릿한냄새 Rumor 
33,College students,@I don't know^ maybe it's because I rarely get out of the lab these days.@,
34,College students,@I've never smelled that^ at least not inside the university.@,
35,Fabian,@Do you know anything about the recent ⓡ(fishy smell)ⓦ that seems to be related to the ⓑ(sewer)?@,비릿한냄새 근원3개
36,College students,@How would a college student know that... ugh.@,
37,College students,@My professor's latest research focuses on ⓑ(sewage)ⓦ and ⓡ(●1ⓡriver water quality)ⓦ.@,키워드 획득
38,College students,@I don't know about that^ anyway.@,
39,Fabian,@I met and talked to your professor. Something's up.@,Details 
40,College students,@That's what I'm saying. I got busy thanks to him too.@,
41,College students,@There's nothing out of the ordinary about it^ other than a bit of ⓡ(●3ⓡfishy slime)ⓦ.@,키워드 획득
42,College students,@I've also sent samples to nearby universities^ so maybe we'll get some results in a few days.@,
43,,,
44,,,
45,,,
46,,,
